segment	word	token.code	dur	step	stepSize	start.time	end.time	jitter	shimmer	hnr	f1	f2	f3	H1Hz	H2Hz	H1-H2	H1dB	H2dB	H1-A1	A1dB	H1-A2	A2dB	H1-A3	A3dB	pitch.range.min	pitch.range.max	prec.seg	next.seg	prec.seg.wd	next.seg.wd	speaker
AS0	a8b7aj	S06-chunked_aTb7aj-1-4-11	44.39	1	0.02219	1.764	1.786	0.0259	0.122	5.4057	542.386	1237.547	3444.117	176.052	352.105	-0.6932	50.4894	51.1851	-6.1328	56.646	2.2905	48.1908	29.6185	20.7946	98.225	354.902	BG	H	BG	H	S06
AS0	a8b7aj	S06-chunked_aTb7aj-1-4-11	44.39	2	0.02219	1.786	1.808	0.0346	0.122	10.0464	590.95	1358.393	2806.366	186.154	372.307	3.0573	54.3457	51.2784	-3.2333	57.5902	16.6544	37.6439	26.5065	27.7719	98.225	354.902	BG	H	BG	H	S06
IS0	tijb7ij	S06-chunked_aTb7aj-1-6-15	130	1	0.065	2.31	2.375	NA	0.122	3.7242	588.325	2104.027	3064.11	100.686	201.372	-8.3437	38.2095	46.5715	5.4203	32.7792	12.7405	25.4481	19.3757	18.8053	98.225	354.902	T	H	T	H	S06
IS0	tijb7ij	S06-chunked_aTb7aj-1-6-15	130	2	0.065	2.375	2.44	0.0196	0.122	17.0478	707.563	2262.823	3074.114	190.051	380.101	19.1897	56.0971	36.8733	28.2018	27.8501	24.1654	31.8911	29.2441	26.8067	98.225	354.902	T	H	T	H	S06
IS1	tijb7ij	S06-chunked_aTb7aj-1-6-18	510	1	0.255	3.39	3.645	NA	0.122	NA	1108.935	3397.164	3716.431	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	98.225	354.902	BG	H	BG	H	S06
IS1	tijb7ij	S06-chunked_aTb7aj-1-6-18	510	2	0.255	3.645	3.9	NA	0.122	NA	1138.702	3758.03	3810.421	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	98.225	354.902	BG	H	BG	H	S06
AS1	yaj	S06-chunked_aTnmV-2-2-3	40	1	0.02	0.51	0.53	NA	0.0965	NA	1366.315	1898.239	3542.302	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	98.225	354.902	Y	H	Y	H	S06
AS1	yaj	S06-chunked_aTnmV-2-2-3	40	2	0.02	0.53	0.55	NA	0.0965	NA	700.857	1831.219	3199.026	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	98.225	354.902	Y	H	Y	H	S06
ES1	tek7	S06-chunked_aTnmV-2-3-6	190	1	0.095	1.4	1.495	0.019	0.0965	13.4879	452.993	2011.33	2926.334	165.511	331.021	2.1599	60.2203	58.0486	-1.7454	61.9756	21.1174	39.006	29.5805	30.5159	98.225	354.902	T	KG	T	KG	S06
ES1	tek7	S06-chunked_aTnmV-2-3-6	190	2	0.095	1.495	1.59	0.0486	0.0965	17.7652	407.17	1978.717	2863.185	182.982	365.964	-2.2862	51.1968	53.4966	2.3782	48.8052	17.5644	33.5485	33.7182	17.3488	98.225	354.902	T	KG	T	KG	S06
AST1	a8nmv	S06-chunked_aTnmV-2-5-9	133.03	1	0.06652	2.657	2.723	0.044	0.0965	20.2907	860.31	1408.357	2494.141	130.047	260.094	-0.6852	51.7586	52.445	0.9442	50.8127	6.4743	45.2735	27.0394	24.6837	98.225	354.902	NA	N	NA	N	S06
AST1	a8nmv	S06-chunked_aTnmV-2-5-9	133.03	2	0.06652	2.723	2.79	0.0215	0.0965	21.8482	802.213	1553.038	2521.241	162.845	325.691	1.6417	58.4331	56.7879	2.3598	56.0684	11.6813	46.7295	27.4153	30.9736	98.225	354.902	NA	N	NA	N	S06
IS0	tijb7ij	S06-chunked_aTnmV-2-6-14	140	1	0.07	3.34	3.41	NA	0.0965	-1.2844	258.754	1903.161	3081.457	151.061	302.121	0.4079	43.4767	43.0646	-0.2748	43.7544	25.9416	17.348	24.4514	18.8445	98.225	354.902	T	H	T	H	S06
IS0	tijb7ij	S06-chunked_aTnmV-2-6-14	140	2	0.07	3.41	3.48	0.0417	0.0965	13.626	528.007	2177.332	3160.709	171.196	342.392	4.7605	54.3202	49.5432	19.5924	34.6698	31.1931	23.047	32.1678	22.0708	98.225	354.902	T	H	T	H	S06
IS1	tijb7ij	S06-chunked_aTnmV-2-6-17	520	1	0.26	4.36	4.62	NA	0.0965	NA	1087.596	2094.99	3686.167	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	98.225	354.902	BG	H	BG	H	S06
IS1	tijb7ij	S06-chunked_aTnmV-2-6-17	520	2	0.26	4.62	4.88	NA	0.0965	NA	1048.97	2017.824	3773.794	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	98.225	354.902	BG	H	BG	H	S06
AS1	yaj	S06-chunked_aab7-3-2-3	40	1	0.02	0.51	0.53	NA	0.0977	NA	973.204	2184.299	3300.711	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	98.225	354.902	Y	H	Y	H	S06
AS1	yaj	S06-chunked_aab7-3-2-3	40	2	0.02	0.53	0.55	NA	0.0977	NA	1419.381	2355.957	3663.724	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	98.225	354.902	Y	H	Y	H	S06
ES1	tek7	S06-chunked_aab7-3-3-6	170	1	0.085	1.07	1.155	0.0172	0.0977	15.7913	451.903	1972.439	2961.599	175.896	351.792	-1.1277	58.1654	59.2993	0.7764	57.3849	22.4849	35.5832	29.1229	28.9256	98.225	354.902	T	KG	T	KG	S06
ES1	tek7	S06-chunked_aab7-3-3-6	170	2	0.085	1.155	1.24	0.0393	0.0977	22.1372	440.385	2037.26	2571.962	193.126	386.251	-5.5845	50.6705	56.2841	-5.5845	56.2841	17.8849	32.7133	17.6799	32.919	98.225	354.902	T	KG	T	KG	S06
AL1	aab7	S06-chunked_aab7-3-4-9	173.2	1	0.0866	1.469	1.555	0.0275	0.0977	21.196	873.556	1426.352	2530.98	158.653	317.306	3.7922	50.6946	46.896	-4.2983	55.0008	0.6937	49.9998	21.9164	28.7482	98.225	354.902	GS	BG	GS	BG	S06
AL1	aab7	S06-chunked_aab7-3-4-9	173.2	2	0.0866	1.555	1.642	0.0131	0.0977	23.2826	789.807	1381.738	2410.835	200.466	400.933	-0.1192	55.5196	55.639	-5.1007	60.6323	-0.0927	55.6125	19.7817	35.7013	98.225	354.902	GS	BG	GS	BG	S06
IS0	tijb7ij	S06-chunked_aab7-3-5-12	140	1	0.07	2.26	2.33	0.0466	0.0977	0.3862	359.314	1965.936	3101.105	198.221	396.442	-2.0465	42.5837	44.6411	-1.0332	43.6223	25.4301	17.0618	24.0005	18.4945	98.225	354.902	T	H	T	H	S06
IS0	tijb7ij	S06-chunked_aab7-3-5-12	140	2	0.07	2.33	2.4	0.0636	0.0977	14.6188	596.482	2224.966	3159.235	179.021	358.041	3.8816	56.2887	52.3961	20.7632	35.4761	26.9849	29.244	30.1889	26.0355	98.225	354.902	T	H	T	H	S06
IS1	tijb7ij	S06-chunked_aab7-3-5-15	510	1	0.255	3.16	3.415	NA	0.0977	NA	1174.787	3492.806	3806.528	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	98.225	354.902	BG	H	BG	H	S06
IS1	tijb7ij	S06-chunked_aab7-3-5-15	510	2	0.255	3.415	3.67	NA	0.0977	NA	1136.13	3758.791	3810.988	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	98.225	354.902	BG	H	BG	H	S06
AS1	yaj	S06-chunked_aak7-4-2-3	50	1	0.025	0.51	0.535	NA	0.0743	NA	1196.268	2175.384	3248.152	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	98.225	354.902	Y	H	Y	H	S06
AS1	yaj	S06-chunked_aak7-4-2-3	50	2	0.025	0.535	0.56	NA	0.0743	NA	1174.041	1742.515	2942.52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	98.225	354.902	Y	H	Y	H	S06
ES1	tek7	S06-chunked_aak7-4-3-6	240	1	0.12	1.14	1.26	0.0131	0.0743	19.0495	472.113	2015.726	2870.428	165.981	331.962	1.2945	59.1172	57.8162	-2.0913	61.2193	20.5886	38.4428	27.7262	31.2841	98.225	354.902	T	KG	T	KG	S06
ES1	tek7	S06-chunked_aak7-4-3-6	240	2	0.12	1.26	1.38	0.0279	0.0743	22.776	448.516	2105.866	2554.149	181.267	362.533	-2.7408	53.6112	56.3663	10.6049	42.9582	14.1115	39.438	17.8448	35.6915	98.225	354.902	T	KG	T	KG	S06
AL1	aak7	S06-chunked_aak7-4-5-10	153.31	1	0.07665	2.176	2.252	0.0547	0.0743	18.3787	850.459	1667.204	2661.914	148.21	296.419	3.8196	56.3256	52.4997	8.7765	47.5352	16.3868	39.9147	30.6444	25.6429	98.225	354.902	GS	KG	GS	KG	S06
AL1	aak7	S06-chunked_aak7-4-5-10	153.31	2	0.07665	2.252	2.329	0.017	0.0743	23.574	768.923	1630.108	2582.096	187.365	374.73	1.191	55.1609	53.9675	5.1444	50.0069	16.3381	38.7958	27.9116	27.2089	98.225	354.902	GS	KG	GS	KG	S06
IS0	tijb7ij	S06-chunked_aak7-4-7-14	150	1	0.075	2.95	3.025	0.0766	0.0743	11.4027	238.087	1818.553	2950.591	130.967	261.934	-3.9397	39.1888	43.181	-2.3243	41.5435	25.6379	13.3371	23.7567	15.2267	98.225	354.902	T	H	T	H	S06
IS0	tijb7ij	S06-chunked_aak7-4-7-14	150	2	0.075	3.025	3.1	0.0318	0.0743	15.4448	491.575	2160.823	2975.513	132.081	264.161	-0.9384	49.6525	50.5946	20.9215	28.6666	25.815	23.763	29.1885	20.3838	98.225	354.902	T	H	T	H	S06
IS1	tijb7ij	S06-chunked_aak7-4-7-17	490	1	0.245	3.55	3.795	NA	0.0743	NA	1087.045	3432.471	3762.569	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	98.225	354.902	BG	H	BG	H	S06
IS1	tijb7ij	S06-chunked_aak7-4-7-17	490	2	0.245	3.795	4.04	NA	0.0743	NA	1143.426	3757.269	3809.448	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	98.225	354.902	BG	H	BG	H	S06
AS1	yaj	S06-chunked_aal-5-2-3	40	1	0.02	0.51	0.53	NA	0.0949	NA	720.08	2144.035	3144.621	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	98.225	354.902	Y	H	Y	H	S06
AS1	yaj	S06-chunked_aal-5-2-3	40	2	0.02	0.53	0.55	NA	0.0949	NA	706.272	1735.295	2254.955	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	98.225	354.902	Y	H	Y	H	S06
ES1	tek7	S06-chunked_aal-5-3-6	150	1	0.075	1.03	1.105	0.0093	0.0949	14.1253	434.425	2044.473	2924.003	162.427	324.853	1.5404	60.4963	58.9467	14.8719	45.5458	22.7926	37.5925	26.839	33.532	98.225	354.902	T	KG	T	NA	S06
ES1	tek7	S06-chunked_aal-5-3-6	150	2	0.075	1.105	1.18	0.0536	0.0949	15.591	394.298	2242.235	2690.577	165.033	330.066	-1.0455	52.8028	53.8549	-1.0455	53.8549	17.4267	35.285	20.9487	31.7491	98.225	354.902	T	KG	T	NA	S06
AL1	aal	S06-chunked_aal-5-4-9	152.97	1	0.07649	1.405	1.481	0.0273	0.0949	22.6028	835.508	1330.017	2424.045	136.779	273.559	0.3168	52.1092	51.7918	-2.1728	54.2863	8.3491	43.7453	22.8652	29.2094	98.225	354.902	GS	L	GS	L	S06
AL1	aal	S06-chunked_aal-5-4-9	152.97	2	0.07649	1.481	1.558	0.014	0.0949	25.2593	787.11	1471.505	2483.273	164.184	328.368	3.8291	59.8642	56.0266	-0.1539	60.0184	11.3069	48.5337	25.7168	34.101	98.225	354.902	GS	L	GS	L	S06
IS0	tijb7ij	S06-chunked_aal-5-6-13	160	1	0.08	2.05	2.13	0.0504	0.0949	12.6625	338.366	1990.164	2945.013	182.193	364.386	-2.1459	45.4714	47.6333	-2.1459	47.6333	22.5266	22.8227	25.0175	20.3233	98.225	354.902	T	H	T	H	S06
IS0	tijb7ij	S06-chunked_aal-5-6-13	160	2	0.08	2.13	2.21	0.0182	0.0949	18.8182	541.619	2202.969	3030.203	178.159	356.318	-1.3986	55.1113	56.515	11.6316	43.4421	27.2923	27.745	24.7498	30.2924	98.225	354.902	T	H	T	H	S06
IS1	tijb7ij	S06-chunked_aal-5-6-16	510	1	0.255	2.48	2.735	NA	0.0949	NA	1021.69	3378.419	3684.456	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	98.225	354.902	BG	H	BG	H	S06
IS1	tijb7ij	S06-chunked_aal-5-6-16	510	2	0.255	2.735	2.99	NA	0.0949	NA	1118.414	3763.77	3814.313	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	98.225	354.902	BG	H	BG	H	S06
AS1	yaj	S06-chunked_aaq-6-2-3	40	1	0.02	0.51	0.53	NA	0.0976	NA	681.441	1459.664	2784.084	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	98.225	354.902	Y	H	Y	H	S06
AS1	yaj	S06-chunked_aaq-6-2-3	40	2	0.02	0.53	0.55	NA	0.0976	NA	1299.612	2342.067	3507.494	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	98.225	354.902	Y	H	Y	H	S06
ES1	tek7	S06-chunked_aaq-6-3-6	220	1	0.11	0.99	1.1	0.0154	0.0976	16.7144	480.302	1970.165	2935.582	168.98	337.959	1.5381	59.6455	58.0999	-1.5955	61.2491	20.813	38.7474	28.1701	31.3691	98.225	354.902	T	KG	T	KG	S06
ES1	tek7	S06-chunked_aaq-6-3-6	220	2	0.11	1.1	1.21	0.0358	0.0976	20.038	472.151	2003.755	2454.631	201.872	403.744	-3.475	54.5048	57.9968	14.9812	39.4628	19.6489	34.7802	16.539	37.8999	98.225	354.902	T	KG	T	KG	S06
AL1	aaq	S06-chunked_aaq-6-4-9	117.15	1	0.05857	1.567	1.625	0.0459	0.0976	17.0473	894.721	1542.149	2689.036	158.522	317.045	2.264	52.4079	50.1402	-1.1386	53.5485	7.4786	44.9177	23.488	28.8896	98.225	354.902	GS	QA	GS	QA	S06
AL1	aaq	S06-chunked_aaq-6-4-9	117.15	2	0.05857	1.625	1.684	0.0177	0.0976	21.6359	879.747	1502.858	2646.751	195.32	390.64	3.9954	55.9392	51.9367	-2.0053	57.9483	5.0285	50.9018	21.8078	34.0991	98.225	354.902	GS	QA	GS	QA	S06
IS0	tijb7ij	S06-chunked_aaq-6-5-12	160	1	0.08	2.3	2.38	0.0373	0.0976	9.7195	973.012	2253.88	3211.205	167.416	334.833	-5.0798	43.3848	48.4695	31.7602	11.6063	21.8106	21.5594	25.5385	17.8299	98.225	354.902	T	H	T	H	S06
IS0	tijb7ij	S06-chunked_aaq-6-5-12	160	2	0.08	2.38	2.46	0.024	0.0976	17.9698	543.496	2092.695	2973.191	177.204	354.408	0.7515	55.1789	54.4258	14.8018	40.349	25.2031	29.9331	24.7304	30.4063	98.225	354.902	T	H	T	H	S06
IS1	tijb7ij	S06-chunked_aaq-6-5-15	510	1	0.255	2.83	3.085	NA	0.0976	NA	1139.184	3295.681	3672.217	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	98.225	354.902	BG	H	BG	H	S06
IS1	tijb7ij	S06-chunked_aaq-6-5-15	510	2	0.255	3.085	3.34	NA	0.0976	NA	1137.534	3758.394	3810.678	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	98.225	354.902	BG	H	BG	H	S06
AS1	yaj	S06-chunked_ab7aj-7-2-3	30	1	0.015	0.51	0.525	NA	0.131	NA	543.886	1725.295	2839.117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	98.225	354.902	Y	H	Y	H	S06
AS1	yaj	S06-chunked_ab7aj-7-2-3	30	2	0.015	0.525	0.54	NA	0.131	NA	625.617	1728.05	2789.515	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	98.225	354.902	Y	H	Y	H	S06
ES1	tek7	S06-chunked_ab7aj-7-3-6	190	1	0.095	1.05	1.145	0.0275	0.131	15.1915	408.237	2028.653	2934.703	139.951	279.902	0.2339	60.1327	59.8972	-1.5027	61.6455	24.0252	35.9806	29.9782	30.0063	98.225	354.902	T	KG	T	KG	S06
ES1	tek7	S06-chunked_ab7aj-7-3-6	190	2	0.095	1.145	1.24	0.0294	0.131	15.7016	411.879	2226.99	2596.375	153.582	307.164	-2.0766	54.8531	56.9423	0.4364	54.4141	21.5542	33.1968	25.8864	28.8503	98.225	354.902	T	KG	T	KG	S06
AS0	ab7aj	S06-chunked_ab7aj-7-4-9	77.12	1	0.03856	1.629	1.667	0.1146	0.131	14.4535	741.61	1136.219	2422.943	119.672	239.344	1.5896	51.5172	49.9241	-0.1814	51.6989	17.9289	33.5554	23.4179	28.0591	98.225	354.902	GS	BG	GS	BG	S06
AS0	ab7aj	S06-chunked_ab7aj-7-4-9	77.12	2	0.03856	1.667	1.706	0.0225	0.131	20.72	708.497	1157.13	2435.7	125.237	250.474	-0.1463	51.199	51.3457	-6.7329	57.9487	11.7895	39.3852	22.6155	28.5424	98.225	354.902	GS	BG	GS	BG	S06
AS1	ab7aj	S06-chunked_ab7aj-7-4-11	40.4	1	0.0202	1.841	1.862	0.2262	0.131	-2.2895	720.888	1274.074	2574.156	142.384	284.767	2.2787	51.8279	49.5442	-4.3947	56.2329	14.8732	36.926	25.3862	26.3986	98.225	354.902	BG	H	BG	H	S06
AS1	ab7aj	S06-chunked_ab7aj-7-4-11	40.4	2	0.0202	1.862	1.882	0.028	0.131	12.4212	810.86	1554.971	2860.778	165.103	330.206	11.8868	60.0677	48.1586	12.3572	47.6875	14.7813	45.2595	32.1069	27.9121	98.225	354.902	BG	H	BG	H	S06
IS0	tijb7ij	S06-chunked_ab7aj-7-6-15	130	1	0.065	2.32	2.385	NA	0.131	0.0608	477.302	2001.903	2902.027	175.09	350.18	-2.7873	42.9726	45.7696	13.7329	29.2009	22.4032	20.5138	23.8135	19.1013	98.225	354.902	T	H	T	H	S06
IS0	tijb7ij	S06-chunked_ab7aj-7-6-15	130	2	0.065	2.385	2.45	0.0223	0.131	16.1993	562.766	2184.726	3015.825	165.714	331.427	1.7008	55.403	53.6968	24.0332	31.3089	27.494	27.8421	30.1626	25.1695	98.225	354.902	T	H	T	H	S06
IS1	tijb7ij	S06-chunked_ab7aj-7-6-18	490	1	0.245	2.88	3.125	NA	0.131	NA	1047.751	3282.451	3745.947	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	98.225	354.902	BG	H	BG	H	S06
IS1	tijb7ij	S06-chunked_ab7aj-7-6-18	490	2	0.245	3.125	3.37	NA	0.131	NA	1116.075	3764.194	3814.737	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	98.225	354.902	BG	H	BG	H	S06
AS1	yaj	S06-chunked_aj7iitz7-8-2-3	40	1	0.02	0.51	0.53	NA	0.0904	NA	815.126	1973.072	3236.221	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	98.225	354.902	Y	H	Y	H	S06
AS1	yaj	S06-chunked_aj7iitz7-8-2-3	40	2	0.02	0.53	0.55	NA	0.0904	NA	935.136	2241.336	3490.211	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	98.225	354.902	Y	H	Y	H	S06
ES1	tek7	S06-chunked_aj7iitz7-8-3-6	210	1	0.105	1.13	1.235	0.0136	0.0904	18.5783	476.876	1945.356	2915.681	201.246	402.493	-3.1559	58.1196	61.2911	5.2305	52.865	18.53	39.5148	22.7897	35.242	98.225	354.902	T	KG	T	KG	S06
ES1	tek7	S06-chunked_aj7iitz7-8-3-6	210	2	0.105	1.235	1.34	0.0078	0.0904	22.5739	482.346	1948.792	2619.591	235.214	470.429	-5.4692	54.8344	60.3293	-5.4692	60.3293	18.5475	36.2182	23.6686	31.0831	98.225	354.902	T	KG	T	KG	S06
AS0	aj7iitz7	S06-chunked_aj7iitz7-8-5-10	104.23	1	0.05212	2.571	2.623	0.0312	0.0904	13.2639	845.032	1884.714	2729.624	133.263	266.526	5.0969	51.6716	46.5677	11.8839	39.7724	25.9411	25.7023	31.2597	20.3803	98.225	354.902	GS	H	GS	H	S06
AS0	aj7iitz7	S06-chunked_aj7iitz7-8-5-10	104.23	2	0.05212	2.623	2.675	0.0609	0.0904	14.6565	1486.185	2489.9	3583.814	131.636	263.272	13.2265	49.9002	36.6668	22.4415	27.4481	34.6294	15.2571	39.9592	9.9264	98.225	354.902	GS	H	GS	H	S06
IL1	aj7iitz7	S06-chunked_aj7iitz7-8-5-12	144.51	1	0.07226	2.761	2.833	0.0434	0.0904	17.4187	351.512	2548.452	3375.806	196.156	392.311	8.0054	58.1621	50.0938	10.3052	47.7778	38.3382	19.6095	41.0473	16.8934	98.225	354.902	H	TSG	H	TSG	S06
IL1	aj7iitz7	S06-chunked_aj7iitz7-8-5-12	144.51	2	0.07226	2.833	2.906	0.0145	0.0904	26.347	373.003	2321.96	3018.705	245.301	490.602	11.5509	63.3281	51.6903	26.3586	36.7978	32.2876	30.843	33.853	29.2715	98.225	354.902	H	TSG	H	TSG	S06
IS0	tijb7ij	S06-chunked_aj7iitz7-8-7-16	150	1	0.075	3.45	3.525	0.026	0.0904	8.6346	500.29	2154.767	3040.491	183.961	367.923	-7.8414	44.6893	52.5544	11.9964	32.6641	24.7811	19.8587	23.9742	20.6666	98.225	354.902	T	H	T	H	S06
IS0	tijb7ij	S06-chunked_aj7iitz7-8-7-16	150	2	0.075	3.525	3.6	0.0432	0.0904	14.1071	546.052	2249.488	3147.509	215.621	431.241	8.3624	57.851	49.4642	29.675	28.1068	28.799	28.9841	31.5448	26.2342	98.225	354.902	T	H	T	H	S06
IS1	tijb7ij	S06-chunked_aj7iitz7-8-7-19	510	1	0.255	3.97	4.225	NA	0.0904	NA	1058.051	3412.42	3643.405	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	98.225	354.902	BG	H	BG	H	S06
IS1	tijb7ij	S06-chunked_aj7iitz7-8-7-19	510	2	0.255	4.225	4.48	NA	0.0904	NA	1122.246	3763.195	3813.553	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	98.225	354.902	BG	H	BG	H	S06
AS1	yaj	S06-chunked_aj7iitz-9-2-3	30	1	0.015	0.51	0.525	NA	0.0966	NA	1239.492	2329.475	3384.215	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	98.225	354.902	Y	H	Y	H	S06
AS1	yaj	S06-chunked_aj7iitz-9-2-3	30	2	0.015	0.525	0.54	NA	0.0966	NA	789.822	2094.419	3013.639	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	98.225	354.902	Y	H	Y	H	S06
ES1	tek7	S06-chunked_aj7iitz-9-3-6	190	1	0.095	0.84	0.935	0.0192	0.0966	16.2856	475.077	1965.513	2826.939	206.216	412.431	-3.9678	58.4962	62.4841	1.4911	56.9979	14.5461	43.8879	25.9239	32.4741	98.225	354.902	T	KG	T	KG	S06
ES1	tek7	S06-chunked_aj7iitz-9-3-6	190	2	0.095	0.935	1.03	0.0352	0.0966	16.0974	464.868	1856.19	2547.183	232.551	465.101	-6.114	54.8145	60.9597	-6.114	60.9597	22.0013	32.7288	22.6872	32.041	98.225	354.902	T	KG	T	KG	S06
AS0	aj7iitz	S06-chunked_aj7iitz-9-4-9	45.84	1	0.02292	1.292	1.315	0.1381	0.0966	12.2023	703.627	1459.42	2416.437	130.8	261.601	1.4314	52.9623	51.5275	3.0404	49.9147	9.5667	43.3746	21.445	31.4762	98.225	354.902	GS	H	GS	H	S06
AS0	aj7iitz	S06-chunked_aj7iitz-9-4-9	45.84	2	0.02292	1.315	1.338	0.0092	0.0966	15.6422	1306.378	2152.169	3398.684	131.053	262.105	6.728	53.969	47.2356	16.4422	37.5147	28.3933	25.5577	32.0179	21.9317	98.225	354.902	GS	H	GS	H	S06
IL1	aj7iitz	S06-chunked_aj7iitz-9-4-12	117.77	1	0.05889	1.514	1.572	0.0371	0.0966	18.9787	332.204	2689.618	3352.822	187.185	374.37	7.6813	55.2776	47.5336	7.6813	47.5336	39.0675	15.991	36.1669	18.8995	98.225	354.902	GS	TSA	GS	TSA	S06
IL1	aj7iitz	S06-chunked_aj7iitz-9-4-12	117.77	2	0.05889	1.572	1.631	0.0278	0.0966	20.7835	330.676	2346.446	2957.388	210.825	421.649	9.2886	61.6548	52.2802	24.8178	36.6401	37.1189	24.2795	37.1929	24.2051	98.225	354.902	GS	TSA	GS	TSA	S06
IS0	tijb7ij	S06-chunked_aj7iitz-9-5-15	110	1	0.055	2.08	2.135	0.0459	0.0966	0.3503	1268.686	2422.097	3440.97	197.228	394.457	0.191	42.1901	41.999	27.7822	14.3989	26.9113	15.2699	32.9996	9.1808	98.225	354.902	T	H	T	H	S06
IS0	tijb7ij	S06-chunked_aj7iitz-9-5-15	110	2	0.055	2.135	2.19	0.0332	0.0966	15.6838	280.352	2045.709	2950.663	196.784	393.567	4.5068	52.4913	47.9896	23.5842	28.9286	25.6394	26.8746	29.9739	22.5426	98.225	354.902	T	H	T	H	S06
IS1	tijb7ij	S06-chunked_aj7iitz-9-5-18	500	1	0.25	2.37	2.62	NA	0.0966	NA	947.912	2149.679	3616.801	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	98.225	354.902	BG	H	BG	H	S06
IS1	tijb7ij	S06-chunked_aj7iitz-9-5-18	500	2	0.25	2.62	2.87	NA	0.0966	NA	1098.32	3766.784	3818.046	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	98.225	354.902	BG	H	BG	H	S06
AS1	yaj	S06-chunked_ajan-10-2-3	40	1	0.02	0.51	0.53	NA	0.1103	NA	845.837	2229.999	3390.281	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	98.225	354.902	Y	H	Y	H	S06
AS1	yaj	S06-chunked_ajan-10-2-3	40	2	0.02	0.53	0.55	NA	0.1103	NA	828.578	2053.638	3310.245	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	98.225	354.902	Y	H	Y	H	S06
ES1	tek7	S06-chunked_ajan-10-3-6	230	1	0.115	1.32	1.435	0.0324	0.1103	17.9155	527.615	1963.161	2845.237	182.982	365.965	-0.3407	59.8888	60.2309	-0.1066	59.9958	19.0786	40.7432	31.2053	28.5873	98.225	354.902	T	KG	T	KG	S06
ES1	tek7	S06-chunked_ajan-10-3-6	230	2	0.115	1.435	1.55	0.0474	0.1103	20.645	469.831	2089.117	2623.705	209.324	418.649	-4.5526	54.7908	59.3658	16.0734	38.6529	13.0278	41.709	21.4667	33.2431	98.225	354.902	T	KG	T	KG	S06
AS0	ajan	S06-chunked_ajan-10-5-10	82.93	1	0.04146	2.267	2.309	0.0719	0.1103	20.8422	834.193	1456.147	2442.019	129.412	258.824	2.2467	50.3242	48.0735	-1.4376	51.7643	8.1187	42.192	24.7903	25.5003	98.225	354.902	GS	H	GS	H	S06
AS0	ajan	S06-chunked_ajan-10-5-10	82.93	2	0.04146	2.309	2.35	0.0517	0.1103	16.2827	865.656	1578.231	2566.553	123.268	246.536	6.0037	56.3226	50.3084	6.4923	49.8191	14.3224	41.9772	24.9872	31.2997	98.225	354.902	GS	H	GS	H	S06
AS1	ajan	S06-chunked_ajan-10-5-12	48.06	1	0.02403	2.479	2.503	0.0345	0.1103	12.554	854.071	1889.273	2991.477	192.894	385.787	9.7855	62.8169	53.0179	13.4624	49.3366	27.4677	35.3171	37.8624	24.915	98.225	354.902	H	N	H	N	S06
