segment	word	token.code	dur	step	stepSize	start.time	end.time	jitter	shimmer	hnr	f1	f2	f3	H1Hz	H2Hz	H1-H2	H1dB	H2dB	H1-A1	A1dB	H1-A2	A2dB	H1-A3	A3dB	pitch.range.min	pitch.range.max	prec.seg	next.seg	prec.seg.wd	next.seg.wd	speaker
IS0	tijb7ij	S01-chunked_aal-4-5-12	140	1	0.07	1.87	1.94	0.0127	0.1012	26.9899	542.555	1730.945	2960.891	210.91	421.819	-1.8571	44.6669	46.5297	11.7948	32.8418	17.6992	26.9257	22.9684	21.648	132.919	480.015	T	H	T	H	S01
IS0	tijb7ij	S01-chunked_aal-4-5-12	140	2	0.07	1.94	2.01	0.0346	0.1012	21.378	1057.996	2413.667	3489.231	192.834	385.669	3.3601	49.0792	45.7159	26.3755	22.6842	29.0229	20.0357	25.9068	23.1532	132.919	480.015	T	H	T	H	S01
IS1	tijb7ij	S01-chunked_aal-4-5-15	510	1	0.255	2.23	2.485	NA	0.1012	NA	984.318	1951.413	3631.62	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	132.919	480.015	BG	H	BG	H	S01
IS1	tijb7ij	S01-chunked_aal-4-5-15	510	2	0.255	2.485	2.74	NA	0.1012	NA	1063.035	3479.525	3816.77	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	132.919	480.015	BG	H	BG	H	S01
AS1	yaj	S01-chunked_aaq7-5-2-3	30	1	0.015	0.51	0.525	NA	0.0792	NA	507.131	1686.588	2806.275	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	132.919	480.015	Y	H	Y	H	S01
AS1	yaj	S01-chunked_aaq7-5-2-3	30	2	0.015	0.525	0.54	NA	0.0792	NA	985.619	2125.466	3140.903	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	132.919	480.015	Y	H	Y	H	S01
ES1	tek7	S01-chunked_aaq7-5-3-6	180	1	0.09	0.93	1.02	0.0107	0.0792	16.2615	597.409	2250.25	3277.816	263.186	526.373	-4.1252	56.0875	60.2257	-3.1191	59.2164	13.0658	42.9866	18.8654	37.1743	132.919	480.015	T	KG	T	KG	S01
ES1	tek7	S01-chunked_aaq7-5-3-6	180	2	0.09	1.02	1.11	0.0158	0.0792	29.3409	630.203	2429.396	3156.754	313.287	626.574	-6.6133	52.8235	59.455	-6.6133	59.455	10.5937	42.2052	14.8187	37.9719	132.919	480.015	T	KG	T	KG	S01
AL1	aaq7	S01-chunked_aaq7-5-4-9	154.99	1	0.0775	1.422	1.5	0.0167	0.0792	25.1218	1093.657	1797.438	3066.528	246.244	492.488	4.6042	47.8456	43.2368	-6.8042	54.6574	0.9572	46.8874	15.518	32.3141	132.919	480.015	GS	QG	GS	QG	S01
AL1	aaq7	S01-chunked_aaq7-5-4-9	154.99	2	0.0775	1.5	1.577	0.0134	0.0792	29.0862	916.998	1803.075	2881.559	307.957	615.913	2.2016	53.2827	51.0779	-2.0677	55.3535	7.2548	46.0181	19.2341	34.0257	132.919	480.015	GS	QG	GS	QG	S01
