vowel.code	token.code	dur	step	stepSize	start.time	end.time	formant	freq	speaker
wubw1	wubw1-CM-subject1_list1_sent15	171.70	10	0.01561	1.122	1.138	F2	1855.74	CM-subject1
wubw1	wubw1-CM-subject1_list1_sent15	171.70	10	0.01561	1.122	1.138	F3	3020.95	CM-subject1
wubw1	wubw1-CM-subject1_list1_sent15	171.70	11	0.01561	1.138	1.154	F1	405.83	CM-subject1
wubw1	wubw1-CM-subject1_list1_sent15	171.70	11	0.01561	1.138	1.154	F2	2031.28	CM-subject1
wubw1	wubw1-CM-subject1_list1_sent15	171.70	11	0.01561	1.138	1.154	F3	2897.48	CM-subject1
0ikw1	0ikw1-CM-subject1_list1_sent17	137.14	1	0.01247	1.484	1.496	F1	355.31	CM-subject1
0ikw1	0ikw1-CM-subject1_list1_sent17	137.14	1	0.01247	1.484	1.496	F2	2070.85	CM-subject1
0ikw1	0ikw1-CM-subject1_list1_sent17	137.14	1	0.01247	1.484	1.496	F3	2899.62	CM-subject1
0ikw1	0ikw1-CM-subject1_list1_sent17	137.14	2	0.01247	1.496	1.509	F1	284.86	CM-subject1
0ikw1	0ikw1-CM-subject1_list1_sent17	137.14	2	0.01247	1.496	1.509	F2	2621.18	CM-subject1
0ikw1	0ikw1-CM-subject1_list1_sent17	137.14	2	0.01247	1.496	1.509	F3	2974.67	CM-subject1
0ikw1	0ikw1-CM-subject1_list1_sent17	137.14	3	0.01247	1.509	1.521	F1	271.67	CM-subject1
0ikw1	0ikw1-CM-subject1_list1_sent17	137.14	3	0.01247	1.509	1.521	F2	2933.54	CM-subject1
0ikw1	0ikw1-CM-subject1_list1_sent17	137.14	3	0.01247	1.509	1.521	F3	3088.65	CM-subject1
0ikw1	0ikw1-CM-subject1_list1_sent17	137.14	4	0.01247	1.521	1.534	F1	282.21	CM-subject1
0ikw1	0ikw1-CM-subject1_list1_sent17	137.14	4	0.01247	1.521	1.534	F2	2819.81	CM-subject1
0ikw1	0ikw1-CM-subject1_list1_sent17	137.14	4	0.01247	1.521	1.534	F3	3025.34	CM-subject1
0ikw1	0ikw1-CM-subject1_list1_sent17	137.14	5	0.01247	1.534	1.546	F1	289.39	CM-subject1
0ikw1	0ikw1-CM-subject1_list1_sent17	137.14	5	0.01247	1.534	1.546	F2	2208.10	CM-subject1
0ikw1	0ikw1-CM-subject1_list1_sent17	137.14	5	0.01247	1.534	1.546	F3	2976.83	CM-subject1
0ikw1	0ikw1-CM-subject1_list1_sent17	137.14	6	0.01247	1.546	1.559	F1	264.56	CM-subject1
0ikw1	0ikw1-CM-subject1_list1_sent17	137.14	6	0.01247	1.546	1.559	F2	2112.93	CM-subject1
0ikw1	0ikw1-CM-subject1_list1_sent17	137.14	6	0.01247	1.546	1.559	F3	3000.30	CM-subject1
