segment	code	word	start.time	token.code	interval.num	step	step.size	seg.dur	pitch.Hz	pitch.ERB	mean.pitch.Hz	mean.pitch.ERB	min.pitch.Hz	min.pitch.ERB	min.pitch.loc	min.pitch.loc.perc	max.pitch.Hz	max.pitch.ERB	max.pitch.loc	max.pitch.loc.perc	pitch.range.min	pitch.range.max	speaker
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	1324.182	S01-12	10	6	0.0093	84.028	285.324	7.0211	286.571	7.0433	282.759	6.9749	31.949	0.380	292.498	7.1491	84.028	1.000	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	1324.182	S01-12	10	7	0.0093	84.028	286.896	7.0493	286.571	7.0433	282.759	6.9749	31.949	0.380	292.498	7.1491	84.028	1.000	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	1324.182	S01-12	10	8	0.0093	84.028	288.533	7.0785	286.571	7.0433	282.759	6.9749	31.949	0.380	292.498	7.1491	84.028	1.000	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	1324.182	S01-12	10	9	0.0093	84.028	290.931	7.1212	286.571	7.0433	282.759	6.9749	31.949	0.380	292.498	7.1491	84.028	1.000	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-f-m	jte8lb7	1296.705	S01-13	10	1	0.0112	100.834	297.193	7.2320	283.875	6.9941	275.558	6.8442	87.727	0.870	298.304	7.2515	0	0	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-f-m	jte8lb7	1296.705	S01-13	10	2	0.0112	100.834	293.824	7.1725	283.875	6.9941	275.558	6.8442	87.727	0.870	298.304	7.2515	0	0	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-f-m	jte8lb7	1296.705	S01-13	10	3	0.0112	100.834	289.560	7.0968	283.875	6.9941	275.558	6.8442	87.727	0.870	298.304	7.2515	0	0	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-f-m	jte8lb7	1296.705	S01-13	10	4	0.0112	100.834	285.350	7.0215	283.875	6.9941	275.558	6.8442	87.727	0.870	298.304	7.2515	0	0	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-f-m	jte8lb7	1296.705	S01-13	10	5	0.0112	100.834	281.628	6.9545	283.875	6.9941	275.558	6.8442	87.727	0.870	298.304	7.2515	0	0	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-f-m	jte8lb7	1296.705	S01-13	10	6	0.0112	100.834	278.707	6.9016	283.875	6.9941	275.558	6.8442	87.727	0.870	298.304	7.2515	0	0	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-f-m	jte8lb7	1296.705	S01-13	10	7	0.0112	100.834	276.747	6.8659	283.875	6.9941	275.558	6.8442	87.727	0.870	298.304	7.2515	0	0	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-f-m	jte8lb7	1296.705	S01-13	10	8	0.0112	100.834	275.723	6.8472	283.875	6.9941	275.558	6.8442	87.727	0.870	298.304	7.2515	0	0	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-f-m	jte8lb7	1296.705	S01-13	10	9	0.0112	100.834	276.141	6.8549	283.875	6.9941	275.558	6.8442	87.727	0.870	298.304	7.2515	0	0	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-f-l	jte8lb7	751.317	S01-14	9	1	0.0077	69.429	292.792	7.1543	265.643	6.6525	208.430	5.5392	69.429	1.000	294.771	7.1893	0	0	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-f-l	jte8lb7	751.317	S01-14	9	2	0.0077	69.429	287.780	7.0650	265.643	6.6525	208.430	5.5392	69.429	1.000	294.771	7.1893	0	0	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-f-l	jte8lb7	751.317	S01-14	9	3	0.0077	69.429	282.035	6.9618	265.643	6.6525	208.430	5.5392	69.429	1.000	294.771	7.1893	0	0	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-f-l	jte8lb7	751.317	S01-14	9	4	0.0077	69.429	276.579	6.8628	265.643	6.6525	208.430	5.5392	69.429	1.000	294.771	7.1893	0	0	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-f-l	jte8lb7	751.317	S01-14	9	5	0.0077	69.429	271.473	6.7693	265.643	6.6525	208.430	5.5392	69.429	1.000	294.771	7.1893	0	0	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-f-l	jte8lb7	751.317	S01-14	9	6	0.0077	69.429	265.314	6.6553	265.643	6.6525	208.430	5.5392	69.429	1.000	294.771	7.1893	0	0	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-f-l	jte8lb7	751.317	S01-14	9	7	0.0077	69.429	255.466	6.4702	265.643	6.6525	208.430	5.5392	69.429	1.000	294.771	7.1893	0	0	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-f-l	jte8lb7	751.317	S01-14	9	8	0.0077	69.429	239.932	6.1712	265.643	6.6525	208.430	5.5392	69.429	1.000	294.771	7.1893	0	0	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-f-l	jte8lb7	751.317	S01-14	9	9	0.0077	69.429	219.415	5.7630	265.643	6.6525	208.430	5.5392	69.429	1.000	294.771	7.1893	0	0	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	757.747	S01-15	9	1	0.0103	92.253	283.666	6.9912	270.225	6.7447	252.743	6.4189	49.393	0.535	284.722	7.0103	4.078	0.044	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	757.747	S01-15	9	2	0.0103	92.253	278.487	6.8975	270.225	6.7447	252.743	6.4189	49.393	0.535	284.722	7.0103	4.078	0.044	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	757.747	S01-15	9	3	0.0103	92.253	271.637	6.7723	270.225	6.7447	252.743	6.4189	49.393	0.535	284.722	7.0103	4.078	0.044	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	757.747	S01-15	9	4	0.0103	92.253	264.447	6.6392	270.225	6.7447	252.743	6.4189	49.393	0.535	284.722	7.0103	4.078	0.044	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	757.747	S01-15	9	5	0.0103	92.253	256.058	6.4816	270.225	6.7447	252.743	6.4189	49.393	0.535	284.722	7.0103	4.078	0.044	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	757.747	S01-15	9	6	0.0103	92.253	252.743	6.4189	270.225	6.7447	252.743	6.4189	49.393	0.535	284.722	7.0103	4.078	0.044	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	757.747	S01-15	9	7	0.0103	92.253	NA	NA	270.225	6.7447	252.743	6.4189	49.393	0.535	284.722	7.0103	4.078	0.044	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	757.747	S01-15	9	8	0.0103	92.253	NA	NA	270.225	6.7447	252.743	6.4189	49.393	0.535	284.722	7.0103	4.078	0.044	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	757.747	S01-15	9	9	0.0103	92.253	NA	NA	270.225	6.7447	252.743	6.4189	49.393	0.535	284.722	7.0103	4.078	0.044	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	980.000	S01-16	9	1	0.0122	110.000	264.282	6.6362	263.352	6.6189	262.166	6.5967	23.787	0.216	264.405	6.6385	8.682	0.079	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	980.000	S01-16	9	2	0.0122	110.000	263.072	6.6136	263.352	6.6189	262.166	6.5967	23.787	0.216	264.405	6.6385	8.682	0.079	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	980.000	S01-16	9	3	0.0122	110.000	262.166	6.5967	263.352	6.6189	262.166	6.5967	23.787	0.216	264.405	6.6385	8.682	0.079	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	980.000	S01-16	9	4	0.0122	110.000	NA	NA	263.352	6.6189	262.166	6.5967	23.787	0.216	264.405	6.6385	8.682	0.079	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	980.000	S01-16	9	5	0.0122	110.000	NA	NA	263.352	6.6189	262.166	6.5967	23.787	0.216	264.405	6.6385	8.682	0.079	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	980.000	S01-16	9	6	0.0122	110.000	NA	NA	263.352	6.6189	262.166	6.5967	23.787	0.216	264.405	6.6385	8.682	0.079	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	980.000	S01-16	9	7	0.0122	110.000	NA	NA	263.352	6.6189	262.166	6.5967	23.787	0.216	264.405	6.6385	8.682	0.079	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	980.000	S01-16	9	8	0.0122	110.000	NA	NA	263.352	6.6189	262.166	6.5967	23.787	0.216	264.405	6.6385	8.682	0.079	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	980.000	S01-16	9	9	0.0122	110.000	NA	NA	263.352	6.6189	262.166	6.5967	23.787	0.216	264.405	6.6385	8.682	0.079	148.9578	479.6016	S01
AST1	qálaq-qálq-g-l	qa8lq	1710.815	S01-17	14	1	0.0166	149.185	234.205	6.0597	220.463	5.7831	207.789	5.5261	71.934	0.482	242.844	6.2288	149.185	1.000	148.9578	479.6016	S01
AST1	qálaq-qálq-g-l	qa8lq	1710.815	S01-17	14	2	0.0166	149.185	221.075	5.7978	220.463	5.7831	207.789	5.5261	71.934	0.482	242.844	6.2288	149.185	1.000	148.9578	479.6016	S01
AST1	qálaq-qálq-g-l	qa8lq	1710.815	S01-17	14	3	0.0166	149.185	212.831	5.6301	220.463	5.7831	207.789	5.5261	71.934	0.482	242.844	6.2288	149.185	1.000	148.9578	479.6016	S01
AST1	qálaq-qálq-g-l	qa8lq	1710.815	S01-17	14	4	0.0166	149.185	208.971	5.5505	220.463	5.7831	207.789	5.5261	71.934	0.482	242.844	6.2288	149.185	1.000	148.9578	479.6016	S01
AST1	qálaq-qálq-g-l	qa8lq	1710.815	S01-17	14	5	0.0166	149.185	208.003	5.5305	220.463	5.7831	207.789	5.5261	71.934	0.482	242.844	6.2288	149.185	1.000	148.9578	479.6016	S01
AST1	qálaq-qálq-g-l	qa8lq	1710.815	S01-17	14	6	0.0166	149.185	210.752	5.5873	220.463	5.7831	207.789	5.5261	71.934	0.482	242.844	6.2288	149.185	1.000	148.9578	479.6016	S01
AST1	qálaq-qálq-g-l	qa8lq	1710.815	S01-17	14	7	0.0166	149.185	218.952	5.7548	220.463	5.7831	207.789	5.5261	71.934	0.482	242.844	6.2288	149.185	1.000	148.9578	479.6016	S01
AST1	qálaq-qálq-g-l	qa8lq	1710.815	S01-17	14	8	0.0166	149.185	230.377	5.9840	220.463	5.7831	207.789	5.5261	71.934	0.482	242.844	6.2288	149.185	1.000	148.9578	479.6016	S01
AST1	qálaq-qálq-g-l	qa8lq	1710.815	S01-17	14	9	0.0166	149.185	239.506	6.1638	220.463	5.7831	207.789	5.5261	71.934	0.482	242.844	6.2288	149.185	1.000	148.9578	479.6016	S01
AST1	qálaq-qálq-g-l	qa8lq	1548.226	S01-18	18	1	0.0102	91.774	227.478	5.9264	209.263	5.5552	201.522	5.3953	58.635	0.639	231.280	6.0021	0	0	148.9578	479.6016	S01
AST1	qálaq-qálq-g-l	qa8lq	1548.226	S01-18	18	2	0.0102	91.774	218.808	5.7519	209.263	5.5552	201.522	5.3953	58.635	0.639	231.280	6.0021	0	0	148.9578	479.6016	S01
AST1	qálaq-qálq-g-l	qa8lq	1548.226	S01-18	18	3	0.0102	91.774	211.049	5.5933	209.263	5.5552	201.522	5.3953	58.635	0.639	231.280	6.0021	0	0	148.9578	479.6016	S01
AST1	qálaq-qálq-g-l	qa8lq	1548.226	S01-18	18	4	0.0102	91.774	205.865	5.4860	209.263	5.5552	201.522	5.3953	58.635	0.639	231.280	6.0021	0	0	148.9578	479.6016	S01
AST1	qálaq-qálq-g-l	qa8lq	1548.226	S01-18	18	5	0.0102	91.774	202.942	5.4250	209.263	5.5552	201.522	5.3953	58.635	0.639	231.280	6.0021	0	0	148.9578	479.6016	S01
AST1	qálaq-qálq-g-l	qa8lq	1548.226	S01-18	18	6	0.0102	91.774	201.690	5.3988	209.263	5.5552	201.522	5.3953	58.635	0.639	231.280	6.0021	0	0	148.9578	479.6016	S01
AST1	qálaq-qálq-g-l	qa8lq	1548.226	S01-18	18	7	0.0102	91.774	202.189	5.4093	209.263	5.5552	201.522	5.3953	58.635	0.639	231.280	6.0021	0	0	148.9578	479.6016	S01
AST1	qálaq-qálq-g-l	qa8lq	1548.226	S01-18	18	8	0.0102	91.774	204.695	5.4617	209.263	5.5552	201.522	5.3953	58.635	0.639	231.280	6.0021	0	0	148.9578	479.6016	S01
AST1	qálaq-qálq-g-l	qa8lq	1548.226	S01-18	18	9	0.0102	91.774	208.654	5.5439	209.263	5.5552	201.522	5.3953	58.635	0.639	231.280	6.0021	0	0	148.9578	479.6016	S01
AST1	qálaq-qálq-g-l	qa8lq	1509.525	S01-19	18	1	0.0112	100.475	217.290	5.7212	215.064	5.6751	206.151	5.4920	31.029	0.309	223.183	5.8405	85.866	0.855	148.9578	479.6016	S01
AST1	qálaq-qálq-g-l	qa8lq	1509.525	S01-19	18	2	0.0112	100.475	210.439	5.5808	215.064	5.6751	206.151	5.4920	31.029	0.309	223.183	5.8405	85.866	0.855	148.9578	479.6016	S01
AST1	qálaq-qálq-g-l	qa8lq	1509.525	S01-19	18	3	0.0112	100.475	206.624	5.5019	215.064	5.6751	206.151	5.4920	31.029	0.309	223.183	5.8405	85.866	0.855	148.9578	479.6016	S01
AST1	qálaq-qálq-g-l	qa8lq	1509.525	S01-19	18	4	0.0112	100.475	207.497	5.5200	215.064	5.6751	206.151	5.4920	31.029	0.309	223.183	5.8405	85.866	0.855	148.9578	479.6016	S01
AST1	qálaq-qálq-g-l	qa8lq	1509.525	S01-19	18	5	0.0112	100.475	211.519	5.6031	215.064	5.6751	206.151	5.4920	31.029	0.309	223.183	5.8405	85.866	0.855	148.9578	479.6016	S01
AST1	qálaq-qálq-g-l	qa8lq	1509.525	S01-19	18	6	0.0112	100.475	216.541	5.7059	215.064	5.6751	206.151	5.4920	31.029	0.309	223.183	5.8405	85.866	0.855	148.9578	479.6016	S01
AST1	qálaq-qálq-g-l	qa8lq	1509.525	S01-19	18	7	0.0112	100.475	220.828	5.7930	215.064	5.6751	206.151	5.4920	31.029	0.309	223.183	5.8405	85.866	0.855	148.9578	479.6016	S01
