segment	code	word	start.time	token.code	interval.num	step	step.size	seg.dur	pitch.Hz	pitch.ERB	mean.pitch.Hz	mean.pitch.ERB	min.pitch.Hz	min.pitch.ERB	max.pitch.Hz	max.pitch.ERB	pitch.range.min	pitch.range.max	speaker
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	980.000	S01-16	9	3	0.0122	110.000	260.377	6.5632	264.349	6.6373	260.377	6.5632	268.180	6.7086	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	980.000	S01-16	9	4	0.0122	110.000	NA	NA	264.349	6.6373	260.377	6.5632	268.180	6.7086	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	980.000	S01-16	9	5	0.0122	110.000	NA	NA	264.349	6.6373	260.377	6.5632	268.180	6.7086	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	980.000	S01-16	9	6	0.0122	110.000	NA	NA	264.349	6.6373	260.377	6.5632	268.180	6.7086	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	980.000	S01-16	9	7	0.0122	110.000	NA	NA	264.349	6.6373	260.377	6.5632	268.180	6.7086	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	980.000	S01-16	9	8	0.0122	110.000	NA	NA	264.349	6.6373	260.377	6.5632	268.180	6.7086	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	980.000	S01-16	9	9	0.0122	110.000	NA	NA	264.349	6.6373	260.377	6.5632	268.180	6.7086	148.9578	479.6016	S01
AST1	qálaq-qálq-g-l	qa8lq	1710.815	S01-17	14	1	0.0166	149.185	236.477	6.1012	219.768	5.7679	206.698	5.5034	252.549	6.4157	148.9578	479.6016	S01
AST1	qálaq-qálq-g-l	qa8lq	1710.815	S01-17	14	2	0.0166	149.185	216.747	5.7101	219.768	5.7679	206.698	5.5034	252.549	6.4157	148.9578	479.6016	S01
AST1	qálaq-qálq-g-l	qa8lq	1710.815	S01-17	14	3	0.0166	149.185	211.910	5.6112	219.768	5.7679	206.698	5.5034	252.549	6.4157	148.9578	479.6016	S01
AST1	qálaq-qálq-g-l	qa8lq	1710.815	S01-17	14	4	0.0166	149.185	207.651	5.5232	219.768	5.7679	206.698	5.5034	252.549	6.4157	148.9578	479.6016	S01
AST1	qálaq-qálq-g-l	qa8lq	1710.815	S01-17	14	5	0.0166	149.185	206.902	5.5076	219.768	5.7679	206.698	5.5034	252.549	6.4157	148.9578	479.6016	S01
AST1	qálaq-qálq-g-l	qa8lq	1710.815	S01-17	14	6	0.0166	149.185	207.975	5.5299	219.768	5.7679	206.698	5.5034	252.549	6.4157	148.9578	479.6016	S01
AST1	qálaq-qálq-g-l	qa8lq	1710.815	S01-17	14	7	0.0166	149.185	216.235	5.6994	219.768	5.7679	206.698	5.5034	252.549	6.4157	148.9578	479.6016	S01
AST1	qálaq-qálq-g-l	qa8lq	1710.815	S01-17	14	8	0.0166	149.185	233.315	6.0420	219.768	5.7679	206.698	5.5034	252.549	6.4157	148.9578	479.6016	S01
AST1	qálaq-qálq-g-l	qa8lq	1710.815	S01-17	14	9	0.0166	149.185	241.316	6.1987	219.768	5.7679	206.698	5.5034	252.549	6.4157	148.9578	479.6016	S01
AST1	qálaq-qálq-g-l	qa8lq	1548.226	S01-18	18	1	0.0102	91.774	235.103	6.0768	207.782	5.5234	198.894	5.3399	241.470	6.2020	148.9578	479.6016	S01
AST1	qálaq-qálq-g-l	qa8lq	1548.226	S01-18	18	2	0.0102	91.774	211.616	5.6043	207.782	5.5234	198.894	5.3399	241.470	6.2020	148.9578	479.6016	S01
AST1	qálaq-qálq-g-l	qa8lq	1548.226	S01-18	18	3	0.0102	91.774	206.875	5.5071	207.782	5.5234	198.894	5.3399	241.470	6.2020	148.9578	479.6016	S01
AST1	qálaq-qálq-g-l	qa8lq	1548.226	S01-18	18	4	0.0102	91.774	204.340	5.4543	207.782	5.5234	198.894	5.3399	241.470	6.2020	148.9578	479.6016	S01
AST1	qálaq-qálq-g-l	qa8lq	1548.226	S01-18	18	5	0.0102	91.774	201.752	5.4001	207.782	5.5234	198.894	5.3399	241.470	6.2020	148.9578	479.6016	S01
AST1	qálaq-qálq-g-l	qa8lq	1548.226	S01-18	18	6	0.0102	91.774	200.128	5.3659	207.782	5.5234	198.894	5.3399	241.470	6.2020	148.9578	479.6016	S01
AST1	qálaq-qálq-g-l	qa8lq	1548.226	S01-18	18	7	0.0102	91.774	199.632	5.3555	207.782	5.5234	198.894	5.3399	241.470	6.2020	148.9578	479.6016	S01
AST1	qálaq-qálq-g-l	qa8lq	1548.226	S01-18	18	8	0.0102	91.774	201.062	5.3856	207.782	5.5234	198.894	5.3399	241.470	6.2020	148.9578	479.6016	S01
AST1	qálaq-qálq-g-l	qa8lq	1548.226	S01-18	18	9	0.0102	91.774	209.536	5.5614	207.782	5.5234	198.894	5.3399	241.470	6.2020	148.9578	479.6016	S01
AST1	qálaq-qálq-g-l	qa8lq	1509.525	S01-19	18	1	0.0112	100.475	224.897	5.8707	215.021	5.6723	193.168	5.2202	237.954	6.1336	148.9578	479.6016	S01
AST1	qálaq-qálq-g-l	qa8lq	1509.525	S01-19	18	2	0.0112	100.475	200.428	5.3719	215.021	5.6723	193.168	5.2202	237.954	6.1336	148.9578	479.6016	S01
AST1	qálaq-qálq-g-l	qa8lq	1509.525	S01-19	18	3	0.0112	100.475	202.254	5.4106	215.021	5.6723	193.168	5.2202	237.954	6.1336	148.9578	479.6016	S01
AST1	qálaq-qálq-g-l	qa8lq	1509.525	S01-19	18	4	0.0112	100.475	203.579	5.4383	215.021	5.6723	193.168	5.2202	237.954	6.1336	148.9578	479.6016	S01
AST1	qálaq-qálq-g-l	qa8lq	1509.525	S01-19	18	5	0.0112	100.475	212.816	5.6296	215.021	5.6723	193.168	5.2202	237.954	6.1336	148.9578	479.6016	S01
AST1	qálaq-qálq-g-l	qa8lq	1509.525	S01-19	18	6	0.0112	100.475	215.446	5.6836	215.021	5.6723	193.168	5.2202	237.954	6.1336	148.9578	479.6016	S01
AST1	qálaq-qálq-g-l	qa8lq	1509.525	S01-19	18	7	0.0112	100.475	224.549	5.8675	215.021	5.6723	193.168	5.2202	237.954	6.1336	148.9578	479.6016	S01
AST1	qálaq-qálq-g-l	qa8lq	1509.525	S01-19	18	8	0.0112	100.475	225.286	5.8827	215.021	5.6723	193.168	5.2202	237.954	6.1336	148.9578	479.6016	S01
AST1	qálaq-qálq-g-l	qa8lq	1509.525	S01-19	18	9	0.0112	100.475	225.936	5.8957	215.021	5.6723	193.168	5.2202	237.954	6.1336	148.9578	479.6016	S01
AS0	xajab7-xajab7-g-m	xajab7	1320.000	S01-2	16	1	0.0056	50.000	254.138	6.4453	240.178	6.1738	206.889	5.5067	257.197	6.5033	148.9578	479.6016	S01
AS0	xajab7-xajab7-g-m	xajab7	1320.000	S01-2	16	2	0.0056	50.000	255.178	6.4651	240.178	6.1738	206.889	5.5067	257.197	6.5033	148.9578	479.6016	S01
AS0	xajab7-xajab7-g-m	xajab7	1320.000	S01-2	16	3	0.0056	50.000	250.843	6.3826	240.178	6.1738	206.889	5.5067	257.197	6.5033	148.9578	479.6016	S01
AS0	xajab7-xajab7-g-m	xajab7	1320.000	S01-2	16	4	0.0056	50.000	246.699	6.3032	240.178	6.1738	206.889	5.5067	257.197	6.5033	148.9578	479.6016	S01
AS0	xajab7-xajab7-g-m	xajab7	1320.000	S01-2	16	5	0.0056	50.000	242.391	6.2199	240.178	6.1738	206.889	5.5067	257.197	6.5033	148.9578	479.6016	S01
AS0	xajab7-xajab7-g-m	xajab7	1320.000	S01-2	16	6	0.0056	50.000	238.421	6.1426	240.178	6.1738	206.889	5.5067	257.197	6.5033	148.9578	479.6016	S01
AS0	xajab7-xajab7-g-m	xajab7	1320.000	S01-2	16	7	0.0056	50.000	232.698	6.0301	240.178	6.1738	206.889	5.5067	257.197	6.5033	148.9578	479.6016	S01
